project_id,file_name,status,match_status,reason,pages,pages_with_text,text_layer_rate,pdf_tables_extracted,pages_with_tables,md_table_blocks,pdf_table_title_count,matched_title_count,title_complete_rate,checked_rows,complete_rows,partial_rows,missing_rows,skipped_rows,row_complete_rate,md_file,file_id
PL158,PL158_佛山市顺德区壹德包装印刷有限公司迁扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,334,271,81.1,493,267,0,2,2,100.0,4893,4599,141,153,5571,94.0,解析文本拼接_表格清洗增强_08_141-160.md,144_佛山市顺德区壹德包装印刷有限公司迁扩建项目_01_受理公告或公示版
PL159,PL159_广东东梓数码新材料有限公司建设项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,79,66,83.5,170,66,0,55,55,100.0,1030,906,35,89,1320,88.0,解析文本拼接_表格清洗增强_08_141-160.md,145_广东东梓数码新材料有限公司建设项目_01_受理公告或公示版
PL160,PL160_佛山市顺德区德盈誉智能制造有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,75,56,74.7,151,56,0,1,1,100.0,940,858,24,58,1284,91.3,解析文本拼接_表格清洗增强_08_141-160.md,146_佛山市顺德区德盈誉智能制造有限公司新建项目_01_受理公告或公示版
PL161,PL161_佛山市顺德区菱昌精密塑料五金实业有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,89,61,68.5,142,61,0,57,57,100.0,944,860,23,61,1387,91.1,解析文本拼接_表格清洗增强_08_141-160.md,147_佛山市顺德区菱昌精密塑料五金实业有限公司新建项目_01_受理公告或公示版
PL162,PL162_广东创卓电器有限公司迁扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,113,74,65.5,184,78,0,64,64,100.0,1244,1148,47,49,1625,92.3,解析文本拼接_表格清洗增强_08_141-160.md,148_广东创卓电器有限公司迁扩建项目_01_受理公告或公示版
PL164,PL164_佛山市顺德区建德包装实业有限公司搬迁扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,352,347,98.6,580,310,0,0,0,100,5604,5327,97,180,6309,95.1,解析文本拼接_表格清洗增强_08_141-160.md,149_佛山市顺德区建德包装实业有限公司搬迁扩建项目_01_受理公告或公示版
PL165,PL165_浙江宏昌电器科技股份有限公司佛山分公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,105,75,71.4,192,76,0,60,60,100.0,922,836,28,58,1390,90.7,解析文本拼接_表格清洗增强_08_141-160.md,150_浙江宏昌电器科技股份有限公司佛山分公司新建项目_01_受理公告或公示版
PL166,PL166_佛山市智枞电器制造有限公司扩建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,117,73,62.4,201,73,0,82,82,100.0,1448,1366,34,48,1649,94.3,解析文本拼接_表格清洗增强_08_141-160.md,151_佛山市智枞电器制造有限公司扩建项目_01_受理公告或公示版
PL167,PL167_广东图特精密五金科技股份有限公司智能制造基地建设项目重新报_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,158,134,84.8,328,133,0,88,88,100.0,2108,1963,50,95,2561,93.1,解析文本拼接_表格清洗增强_08_141-160.md,152_广东图特精密五金科技股份有限公司智能制造基地建设项目重新报_01_受理公告或公示版
SC002,SC002_128_佛山市全海世家新材料科技有限公司新建项目_02_报批稿或报告表.pdf,需复核,project_id+名称模糊匹配,存在部分PDF表格行未在md中完整命中,117,76,65.0,207,76,0,62,62,100.0,1237,1139,50,48,1635,92.1,解析文本拼接_表格清洗增强_08_141-160.md,153_佛山市全海世家新材料科技有限公司新建项目_02_报批稿或报告表
SC003,SC003_128_佛山市全海世家新材料科技有限公司新建项目_03_报批稿或报告表.pdf,需OCR复核,project_id+名称模糊匹配,PDF文本层不足，可能是扫描件或图片页较多,4,0,0.0,0,0,0,0,0,100,0,0,0,0,0,0,解析文本拼接_表格清洗增强_08_141-160.md,153_佛山市全海世家新材料科技有限公司新建项目_03_报批稿或报告表
